id_contrat;N_version;id_type_affaire;typa_affaire;id_agence;dt_souscription;dt_eff_im;dt_ech;CANAL;Montant;id_pack;lib_pack;Segment;FRANCHISE;id_vehicule;id_assure;id_conducteur;Valeur à neuf;Valeur vénale;TAUX_REDUCTION;SITUATION;;;
1;1;1;Avenant de renouvellement DF a DF;400;2018-01-02 00:00:00;2018-01-02 00:00:00;2018-07-01 00:00:00;Agence;28635.993;2;Classic plus; VERT;5000;3843;204;204;2300000;2000000;;ENCAISSÉE;;;
2;1;1;Avenant de renouvellement DF a DF;233;2018-01-02 00:00:00;2018-01-02 00:00:00;2019-01-01 00:00:00;Agence;3867.248;3;Basic (New);BLANC;;3382;669;669;700000;500000;;ENCAISSÉE;;;
2;2;1;Avenant de renouvellement DF a DF;233;2018-12-29 00:00:00;2019-01-02 00:00:00;2020-01-01 00:00:00;Agence;3867.96;3;Basic (New);BLANC;;3382;669;669;700000;500000;;ENCAISSÉE;;;
2;3;1;Avenant de renouvellement DF a DF;233;2019-12-25 00:00:00;2020-01-02 00:00:00;2021-01-01 00:00:00;Agence;4351.455;3;Basic (New);BLANC;;3382;669;669;700000;500000;;ENCAISSÉE;;;
2;4;1;Avenant de renouvellement DF a DF;233;2021-01-05 00:00:00;2021-01-05 00:00:00;2022-01-04 00:00:00;Agence;4351.455;3;Basic (New);BLANC;;3382;669;669;700000;500000;;ENCAISSÉE;;;
3;2;1;Avenant de renouvellement DF a DF;70601;2018-01-02 00:00:00;2018-01-02 00:00:00;2018-07-01 00:00:00;AGA;2385.594;3;Basic (New);BLANC;;3092;1307;1307;2000000;1000000;;ENCAISSÉE;;;
4;2;1;Avenant de renouvellement DF a DF;167;2018-01-02 00:00:00;2018-01-02 00:00:00;2019-01-01 00:00:00;Agence;4350.654;3;Basic (New);BLANC;;3569;1553;1553;2000000;1510000;;ENCAISSÉE;;;
4;3;2;Modifications diverses;167;2018-08-06 00:00:00;2018-08-06 00:00:00;2019-01-01 00:00:00;Agence;10801.04;3;Basic (New);BLANC;;3569;1553;1553;2000000;1510000;;ENCAISSÉE;;;
4;4;1;Avenant de renouvellement DF a DF;213;2019-01-06 00:00:00;2019-01-06 00:00:00;2020-01-05 00:00:00;Agence;3867.96;3;Basic (New);BLANC;;3569;1553;1553;2000000;1510000;;ENCAISSÉE;;;
5;1;1;Avenant de renouvellement DF a DF;166;2018-01-02 00:00:00;2018-01-03 00:00:00;2019-01-02 00:00:00;Agence;23957.08;1;Tout en 1 (New);BLANC;5000;3506;46;46;1200000;800000;;ENCAISSÉE;;;
5;2;1;Avenant de renouvellement DF a DF;166;2019-01-02 00:00:00;2019-01-03 00:00:00;2020-01-02 00:00:00;Agence;21737.752;1;Tout en 1 (New);BLANC;5000;3506;46;46;1200000;800000;;ENCAISSÉE;;;
5;3;1;Avenant de renouvellement DF a DF;166;2019-12-30 00:00:00;2020-01-03 00:00:00;2021-01-02 00:00:00;Agence;23838.048;1;Tout en 1 (New);BLANC;5000;3506;46;46;1200000;800000;;ENCAISSÉE;;;
6;5;1;Avenant de renouvellement DF a DF;147;2018-01-02 00:00:00;2018-01-03 00:00:00;2018-07-02 00:00:00;Agence;2279.52;2;Classic plus;JAUNE;;3806;362;362;1650000;1500000;;ENCAISSÉE;;;
6;6;1;Avenant de renouvellement DF a DF;147;2018-06-30 00:00:00;2018-07-03 00:00:00;2019-01-02 00:00:00;Agence;13303.864;2;Classic plus;JAUNE;;3806;362;362;1650000;1500000;;ENCAISSÉE;;;
6;7;1;Avenant de renouvellement DF a DF;147;2019-01-03 00:00:00;2019-01-03 00:00:00;2019-07-02 00:00:00;Agence;16308.99;2;Classic plus;JAUNE;;3806;362;362;1650000;1500000;;ENCAISSÉE;;;
6;8;1;Avenant de renouvellement DF a DF;494;2019-07-01 00:00:00;2019-07-03 00:00:00;2020-01-02 00:00:00;Agence;14496.88;2;Classic plus;JAUNE;;3806;362;362;1650000;1500000;;ENCAISSÉE;;;
7;2;1;Avenant de renouvellement DF a DF;160;2018-01-02 00:00:00;2018-01-17 00:00:00;2019-01-16 00:00:00;Agence;4515.381;3;Basic (New);JAUNE;;3521;504;504;1550000;1300000;;ENCAISSÉE;;;
7;3;2;Modifications diverses;160;2018-08-06 00:00:00;2018-08-06 00:00:00;2019-01-16 00:00:00;Agence;50;3;Basic (New);JAUNE;;3521;504;504;1550000;1300000;;ENCAISSÉE;;;
8;2;;;72301;2018-01-02 00:00:00;2018-01-03 00:00:00;2018-01-24 00:00:00;AGA;527.32;1;Tout en 1 (New); VERT;5000;3271;123;123;5000000;4000000;0.5;ENCAISSÉE;401;Les Lys (Dely Ibrahim);209
9;1;5;Avenant de resiliation avec ristourne;262;2018-01-02 00:00:00;2018-01-03 00:00:00;2018-04-01 00:00:00;Agence;-12963.33;1;Tout en 1 (New); VERT;5000;3824;370;370;2400000;1800000;;ENCAISSÉE;;;
10;1;9;Changement du numero d'immatriculation;488;2018-01-02 00:00:00;2018-01-02 00:00:00;2018-06-03 00:00:00;Agence;47.94;1;Tout en 1 (New);BLANC;5000;2808;165;165;3800000;2200000;;ENCAISSÉE;;;
11;1;1;Avenant de renouvellement DF a DF;161;2018-01-02 00:00:00;2018-01-02 00:00:00;2019-01-01 00:00:00;Agence;28238.697;1;Tout en 1 (New); VERT;5000;3528;984;984;2400000;2200000;;ENCAISSÉE;;;
12;5;1;Avenant de renouvellement DF a DF;72301;2018-01-02 00:00:00;2018-01-03 00:00:00;2019-01-02 00:00:00;AGA;51212.72;1;Tout en 1 (New); VERT;5000;3843;204;204;2730000;2100000;;ENCAISSÉE;;;
12;6;;;72301;2018-01-27 00:00:00;2018-01-28 00:00:00;2019-01-02 00:00:00;AGA;378.176;1;Tout en 1 (New); VERT;5000;3843;204;204;2730000;2100000;;ENCAISSÉE;453;El Djouzia (Constantine);413
12;7;;;72301;2018-03-01 00:00:00;2018-03-01 00:00:00;2019-01-02 00:00:00;AGA;378.176;1;Tout en 1 (New); VERT;5000;3843;204;204;2730000;2100000;;ENCAISSÉE;483;Hippone (Annaba);414
12;8;;;72301;2018-03-28 00:00:00;2018-03-28 00:00:00;2019-01-02 00:00:00;AGA;425.448;1;Tout en 1 (New); VERT;5000;3843;204;204;2730000;2100000;;ENCAISSÉE;486;Les Amandiers (Azzazga);425
12;9;;;72301;2018-06-21 00:00:00;2018-06-21 00:00:00;2019-01-02 00:00:00;AGA;378.176;1;Tout en 1 (New); VERT;5000;3843;204;204;2730000;2100000;;ENCAISSÉE;488;El Minaa (Relizane);410
12;10;;;72301;2018-08-16 00:00:00;2018-08-16 00:00:00;2019-01-02 00:00:00;AGA;425.448;1;Tout en 1 (New); VERT;5000;3843;204;204;2730000;2100000;;ENCAISSÉE;494;Les Glycines (Chlef);428
13;1;1;Avenant de renouvellement DF a DF;219;2018-01-02 00:00:00;2018-01-03 00:00:00;2019-01-02 00:00:00;Agence;28213.472;1;Tout en 1 (New); VERT;5000;1712;714;714;2258150;1800000;;ENCAISSÉE;;;
14;4;2;Modifications diverses;167;2018-01-02 00:00:00;2018-01-02 00:00:00;2018-10-17 00:00:00;Agence;46.92;1;Tout en 1 (New);BLANC;5000;3905;184;184;1809500;1709500;;ENCAISSÉE;;;
15;1;9;Changement du numero d'immatriculation;213;2018-01-02 00:00:00;2018-01-02 00:00:00;2018-12-17 00:00:00;Agence;46.73;1;Tout en 1 (New); VERT;5000;2301;1936;1936;2499000;2400000;;ENCAISSÉE;;;
