id_vehicule;Marque;Modèle;ANNEE_CIRCUL;Valeur_a_neuf;Valeur_venale;id_proprietaire
1;MERCEDES;SPRINTER;2012;3200000;2200000;1348
2;RENAULT;SYMBOL;2009;;;1531
3;TOYOTA;AURIS;2010;1770000;1770000;1936
4;BMW;316;2001;4000000;1440000;901
5;BMW;520;2010;5200000;3000000;38
6;HYUNDAI;TUCSON;2007;;;84
7;OPEL;INSIGNA;2010;;;1466
8;VOLKS WAGEN;CADDY;2010;1900000;1400000;1370
9;OPEL;CORSA;2012;;;727
10;HONDA;CR V;2005;3500000;1000000;1384
11;HYUNDAI;I10;2011;;;754
12;CITROEN;C4;2010;1500000;1200000;633
13;SKODA;SUPERB;2012;;;588
14;BMW;320 D;2001;4000000;1000000;241
15;MERCEDES;VITO;2012;2770000;2500000;1433
16;PEUGEOT;207;2009;;;1687
17;MERCEDES;SLK R170;1999;3000000;800000;514
18;BMW;120D;2010;4100000;1000000;184
19;PEUGEOT;207;2012;;;1359
20;CHEVROLET;AVEO;2011;;;1458
21;VOLKS WAGEN;JETTA;1988;2000000;160000;1685
22;KIA;CARENS;2009;;;1659
23;RENAULT;KANGOO;2003;;;1792
24;RENAULT;CLIO;2011;;;1211
25;OPEL;CORSA;2013;;;915
26;SUZUKI;ALTO;2013;;;99
27;KIA;PICANTO;2012;;;1489
28;SKODA;OCTAVIA;2013;;;1033
29;BMW;320 D;2013;;;1455
30;FORD;FOCUS;2013;;;373
31;SUZUKI;CELERIO;2012;;;1132
32;RENAULT;CLIO;2004;;;1831
33;FORD;FIESTA;2013;;;1922
34;NISSAN;JUKE;2014;2400000;2400000;309
35;SEAT;LEON;2009;;;563
36;VOLKS WAGEN;JETTA;2010;2000000;1200000;1690
37;CHEVROLET;AVEO;2012;;;595
38;TOYOTA;YARIS;2007;;;657
39;FORD;FIESTA;2013;;;1498
40;PEUGEOT;208;2013;;;923
41;AUDI;Q5;2015;6525000;3500000;262
42;CITROEN;C3;2012;;;631
43;PEUGEOT;208;2013;;;596
44;NISSAN;MICRA;2014;;;1108
45;MERCEDES;VITO;2002;3400000;700000;1386
46;MERCEDES;461;2006;1766200;1200000;523
47;FORD;TRANSIT;2013;;;812
48;CHEVROLET;AVEO;2010;;;36
49;PEUGEOT;308;2013;;;1646
50;NISSAN;QASHQAI;2013;;;874
51;VOLKS WAGEN;GOLF;2012;;;691
52;SUZUKI;ALTO;2013;;;837
53;CHEVROLET;CRUZ;2013;2450000;2000000;1191
54;VOLKSWAGEN;POLO;2012;;;974
55;FORD;FOCUS;2012;;;1937
56;HYUNDAI;I10;2018;;;1241
57;CHEVROLET;CAPTIVA;2013;3200000;2880000;1246
58;VOLKS WAGEN;POLO;2005;1280000;1150000;765
59;SUZUKI;SWIFT;2012;;;1070
60;SsongYong;KYRON;2012;2200000;1710000;919
61;SKODA;YETI;2012;;;1451
62;RENAULT;CLIO;2010;;;1877
63;OPEL;CORSA;2013;;;48
64;SUZUKI;JIMMY;2010;1200000;900000;922
65;CHEVROLET;SAIL;2013;;;1105
66;SEAT;IBIZA;2012;;;82
67;RENAULT;KANGOO;2009;1620000;1200000;711
68;OPEL;CORSA;2013;;;1765
69;HYUNDAI;NEW TUCSON;2013;2340000;1800000;544
70;NISSAN;QASHQAI;2012;3800000;3060000;90
71;FORD;FOCUS;2020;1740000;1080000;103
72;TOYOTA;YARIS;2011;;;1036
73;TOYOTA;YARIS;2009;;;393
74;FORD;FOCUS;2012;;;963
75;DACIA;SANDERO;2012;;;1304
76;NISSAN;SUNNY;2011;;;1273
77;RENAULT;R19;1989;600000;250000;1863
78;SKODA;SKODA;2013;4500000;4500000;1641
79;NISSAN;SUNNY;2013;;;1043
80;VOLKSWAGEN;POLO;2012;;;1945
81;SUZUKI;SWIFT;2013;;;1994
82;SUZUKI;SWIFT;2013;;;231
83;SUZUKI;CELERIO;2013;;;67
84;PEUGEOT;308;2011;;;667
85;VOLKSWAGEN;POLO LIFE;2011;1600000;1000000;1965
86;RENAULT;CLIO 4;2014;;;1210
87;CHEVROLET;AVEO;2010;;;713
88;SUZUKI;CELERIO;2013;1500000;1000000;864
89;CHEVROLET;CRUZE;2013;;;331
90;CITROEN;DS4;2013;;;885
91;RENAULT;KANGOO;2003;1500000;500000;1573
92;PEUGEOT;308;2010;;;771
93;PEUGEOT;308;2012;;;577
94;VOLKSWAGEN;TIGUAN;2019;;;1358
95;HYUNDAI;NEW TUCSON;2014;3011000;2500000;1301
96;TOYOTA;PRADO;2009;5000000;5000000;1634
97;BMW;SERIE 3;2014;3000000;2500000;785
98;SKODA;OCTAVIA;2014;;;955
99;HAIMA;M1;2014;659000;659000;1509
100;PEUGEOT;207;2007;;;356
101;SUBARU;IMPREZA;2012;1700000;1400000;383
102;SUZUKI;SWIFT;2009;;;1218
103;CHEVROLET;SPARK;2014;;;837
104;HYUNDAI;ATOS;1999;;;1061
105;PEUGEOT;607;2004;3500000;700000;1753
106;VOLKS WAGEN;GOLF;2013;;;838
107;RENAULT;CLIO;2011;;;597
108;AUDI;A4;2008;2000000;1300000;740
109;FORD;FOCUS;2008;;;1013
110;PEUGEOT;406;2002;;;48
111;TOYOTA;YARIS;2011;;;1282
112;VOLKS WAGEN;GOLF;2000;;;1545
113;CITROEN;ELYSE;2013;2000000;1510000;1500
114;HUNDAI;I10;2010;820000;540000;260
115;PEUGEOT;207;2012;;;1094
116;VOLKS WAGEN;POLO;2000;700000;500000;1399
117;VOLKS WAGEN;CARAVALLE;2014;2520000;2520000;381
118;CHEVROLET;AVEO;2014;;;1476
119;PEUGEOT;206 SEDAN;2007;700000;575000;583
120;SEAT;IBIZA;2011;;;1623
121;AUDI;A4;2010;2000000;1900000;1658
122;HYUNDAI;TUCSON;2013;;;1322
123;HYUNDAI;I10;2012;1020000;1000000;1915
124;CITROEN;C3;2013;;;657
125;TOYOTA;YARIS;2008;;;1495
126;PEUGEOT;208;2014;;;801
127;VOLKS WAGEN;GOLF;2011;;;1453
128;CITROEN;C4;2008;1600000;800000;284
129;SKODA;FABIA;2013;;;100
130;PEUGEOT;EXPERT;2001;650000;650000;1075
131;KIA;RIO;2020;3200000;2800000;620
132;DACIA;LOGAN;2014;;;1593
133;CITROEN;BERLINGO;2013;;;1207
134;PEUGEOT;308;2014;;;407
135;KIA;SORENTO;2014;;;1654
136;VOLKS WAGEN;POLO;2014;;;233
137;DAEWOO;NUBIRA;2000;700000;300000;1681
138;NISSAN;C 100;2005;1200000;722000;901
139;KIA;PICANTO;2007;;;56
140;FORD;MONDEO;2009;1800000;1500000;1248
141;ALFA ROMEO;MITO;2012;2500000;2000000;1588
142;AUDI;Q5;2013;;;299
143;FORD;FIESTA;2014;;;1257
144;DAIHATSU;TERIOS;2010;1400000;910000;205
145;PEUGEOT;308;2008;1450000;800000;1567
146;SKODA;OCTAVIA;2014;;;839
