Agence AXA Algérie ;Code;région;NOM ET TEL DA;Téléphone;4 chiffres;Email;Adresse;Date d'ouverture;Coordonnées GPS;Horaires d'ouverture
Yasmine (Chéraga);120;Centre I;Said GHERRAH : 0770080214;770080238;1060/1061;AgenceCheragaYasmine@AXA.DZ;Lot n° 5, RN 41, Chéraga 16086;11/12/2011;36.771168, 2.954671;9:00 - 17:30  Samedi à Jeudi
Camelia (Kouba);121;Centre II;Kenza bennour   : 0770080263;770080264;2001;AgenceKoubaCamelia@axa.dz;35 Rue Mohamed Garidi, Kouba 16015;01/02/2012;36.734911, 3.083025;9:00 - 18:00/19:00  Samedi à Jeudi
Elias (Hydra);143;Centre I;Hamza Benaissa : 0770080303;770080261;2160;AgenceHydraElias@axa.dz;24 boulevard,  Said Hamdine,  Hydra (SELON LE BAIL);05/06/2012;36.746069,3.041279;9:00 - 17:30  Samedi à Jeudi
Azhar (Ouled Fayet);147;Centre I;Nabil rekkas: 0770080 249;770080288;2042/2043;AgenceOuledFayet@axa.dz;18 Rue DJADI AHMED Ouled Fayet;28/06/2012;36.7357590 2.9504353;9:00 - 17:30  Samedi à Jeudi
Zayane (Sacré Coeur);144;Centre I;Walid SENOUSSAOUI  : 0770080 315;770080294;2165;AgenceSacreCoeur@axa.dz;120, Rue Didouche Mourad;01/04/2013;36.763414,3.046453;9:00 - 17:30  Samedi à Jeudi
Sawsen (Dar El Beida);161;Centre II;Reda HAMENNICHE : 0770080 326;770080246;2120;AgenceDarElBeida@axa.dz;Impasse N°12 lieu dit route Mouloud Feraoun - Dar El Beida;01/10/2012;36.713832,3.211666;9:00 - 17:30  Samedi à Jeudi
Iris (Oran);160;Ouest ;Nabil smahi : 0770080278;770080279;2401;AgenceOran@axa.dz; Résidence Les Iris  Boulevard Millénium N°A1, Oran, Algérie ;23/09/2012;35.717058,-0.601158;9:00 - 17:30  Samedi à Jeudi
Les Orangers (Boufarik);163;Centre II;khali amar /;770080233;2105;AgenceBoufarik@axa.dz;28  Rue des frères Bouza (ex Duquesne) Boufarik;23/10/2012;36.573749,2.914111;9:00 - 17:30  Samedi à Jeudi
Warda (El Mouradia);164;Centre II;LILA SAADOUNE  : 0770080195;770080258;2155;AgenceElMouradia@axa.dz;16, rue des frères Oughlis, El Mouradia;20/11/2012;36,732573,3.084920;9:00 - 17:30  Samedi à Jeudi
Les Genets (Tizi Ouzou);166;Est I;Malika DIDAOUI : 0770080229;770080310;2275;AgenceTiziOuzou@axa.dz;Immeuble de la Tour nouvelle ville Tizi ouzou;26/11/2012;36.702777,4.053407;"9:00 - 17:30 
Dimanche à Jeudi"
Nada (Ain Benian);167;Centre I;chakib dahmane;770080201;2070/2071;Agenceainbenian@axa.dz;Centre commercial de Ain Benian Ain Benian;23/04/2013;36.803214,2.913498;9:00 - 17:30  Samedi à Jeudi
Les Lilas (Zighoud Youcef) st hubert;169;Ouest ;El hadi MECELLEM 0770  080 283;770080284;2425;AgenceOranStHubert@axa.dz;102 bis ex les palmiers 01 BD de l'APN, Saint Hubert, Oran;10/03/2013;35.681435,-0.644352;"9:00 - 17:30 
Dimanche à Jeudi"
Gouraya (Bejaia);185;Est II;Samia HAMMOUCHE : 0770080218;770080219;2225;AgenceBejaia@axa.dz;rue Nacer Boumadaoui de Bejaïa, communément appelée cité SOMACOB.;31/03/2013;36.745077,5.049590;9:00 - 17:30  Samedi à Jeudi
Wouroud (Blida);200;Centre II;Amina MEZIANI  : 0770080189;770080224;2100;Agenceblida@axa.dz;70 Avenue Kritli Mokhtar Blida;02/05/2013;36.478634, 2.834981;9:00 - 17:30  Samedi à Jeudi
El Baida (Bab El Oued);184;Centre I;Nassim Boutferni  : 0770080251;770080215;2150;AgenceBabElOued@axa.dz;10, Boulevard Commandant Abdelkader Mira, Bab El Oued;06/05/2013;36.792620,3.055319;9:00 - 17:30  Samedi à Jeudi
Nesrine (Sétif 1);186;Est I;Sabrina ALLOU : 0770080296;770080297;2210;AgenceSetif01@axa.dz;Cité Chadli Talha  Rue Balla Eltouhami N°11 LAARARSSA Sétif - cité financière , A coté de l'hotel ZIDANE ;27/06/2013;36.19992.5,41134;"9:00 - 17:30 
Dimanche à Jeudi"
Petunia (Bordj El Kiffan);400;Centre II;Lynda Kaci EPS Kasdi : 0770080227;770080228;2125;AgenceBordjElKiffan@axa.dz;Boulevard colonnel Amirouche coopérative immobilière Saada Lot A6  RDC Bt 1 A local n°07 Bordj El Kiffan.;29/07/2013;36.744076,3.186783;9:00 - 17:30  Samedi à Jeudi
El Naaman (Sidi Bel Abbes);202;Ouest ;Mounia Kaddar : 0770080 302;770080301;2445;AgenceSidiBelAbbes@axa.dz;Boulevard de la Mactaa résidence El Feth n°35 Sidi Bel Abbes ;25/07/2013;35.188564 ,-0.635645;9:00 - 17:30  Samedi à Jeudi
Les Lys (Dely Ibrahim);209;Centre I;Malha slimani : /;770080248;2110;AgenceDelyIbrahim@axa.dz;Lot n°163 Bois des cars 3, Dely Ibrahim. Alger;18/08/2013;36.760414,2,987372;9:00 - 17:30  Samedi à Jeudi
Le Câprier (Constantine);401;Est II;Hedia MAROUF: 0770080 136;770080243;2245;AgenceConstantine01@axa.dz;05 Boulevard de la République Constantine;19/08/2013;36.357947,6.607489;9:00 - 17:30  Samedi à Jeudi
Tournesols  (Mostaghanem);203;Ouest ;Ferriel KARA MOSTEFA : 0770080272;770080273;2460;AgenceMostaganem@axa.dz;Rue ouled Aissa Belkacem, Cité Amirouche, Mostaganem;04/09/2013;35.928893,0.082765;"9:00 - 17:30 
Dimanche à Jeudi"
Palmiers (Rouiba);408;Centre II;Thimila Ibekourene : 0770080291;770080292;2130;AgenceRouiba@axa.dz;6, rue Hassiba Benbouali. Rouiba - Alger;28/10/2013;36.737596,3.280199;"9:00 - 17:30 
Dimanche à Jeudi"
Liserons (Ben Omar);204;Centre II;HANNACHE NEWFEL (INTERIM) : 0770080 220;770080221;2140;AgenceBenOmar@axa.dz;44 s parc de Ben Omar local K Ben Omar;29/10/2013;36.726939,3.089396;"9:00 - 17:30 
Dimanche à Jeudi"
